id,cidade,cidade_estado,latitude,longitude,estado,valor
256,BRUMADO,BRUMADO - BA,-14.2,-41.66,BA,386672.6812
257,BUERAREMA,BUERAREMA - BA,-14.95,-39.3,BA,122816.8259
258,BURITIRAMA,BURITIRAMA - BA,-10.7,-43.63,BA,101926.2752
259,CAATIBA,CAATIBA - BA,-14.97,-40.4,BA,97073.77455
260,CABACEIRAS DO PARAGUACU,CABACEIRAS DO PARAGUACU - BA,-12.53,-39.19,BA,93308.50143
261,CACHOEIRA,CACHOEIRA - BA,-12.61,-38.95,BA,184070.8891
262,CACULE,CACULE - BA,-14.5,-42.22,BA,139511.4206
263,CAEM,CAEM - BA,-11.09,-40.43,BA,119319.9576
264,CAETANOS,CAETANOS - BA,-14.33,-40.91,BA,78263.9632
265,CAETITE,CAETITE - BA,-14.06,-42.47,BA,274261.5837
266,CAFARNAUM,CAFARNAUM - BA,-11.69,-41.46,BA,90626.01189
267,CAIRU,CAIRU - BA,-13.48,-39.04,BA,57258.18455
268,CALDEIRAO GRANDE,CALDEIRAO GRANDE - BA,-11.02,-40.3,BA,107178.9726
269,CAMACAN,CAMACAN - BA,-15.41,-39.49,BA,217355.5956
270,CAMACARI,CAMACARI - BA,-12.69,-38.32,BA,837461.2008
271,CAMAMU,CAMAMU - BA,-13.94,-39.1,BA,209198.6523
272,CAMPO ALEGRE DE LOURDES,CAMPO ALEGRE DE LOURDES - BA,-9.51,-43.01,BA,157985.5464
273,CAMPO FORMOSO,CAMPO FORMOSO - BA,-10.5,-40.32,BA,388830.7502
274,CANAPOLIS,CANAPOLIS - BA,-13.07,-44.2,BA,60381.48542
275,CANARANA,CANARANA - BA,-11.68,-41.76,BA,130052.1367
276,CANAVIEIRAS,CANAVIEIRAS - BA,-15.67,-38.94,BA,233748.9748
277,CANDEAL,CANDEAL - BA,-11.8,-39.11,BA,68524.98197
278,CANDEIAS,CANDEIAS - BA,-12.66,-38.55,BA,486171.0617
279,CANDIBA,CANDIBA - BA,-14.41,-42.86,BA,87539.52592
280,CANDIDO SALES,CANDIDO SALES - BA,-15.5,-41.23,BA,156977.2884
281,CANSANCAO,CANSANCAO - BA,-10.67,-39.49,BA,211719.9
282,CANUDOS,CANUDOS - BA,-9.9,-39.13,BA,116280.356
283,CAPELA DO ALTO ALEGRE,CAPELA DO ALTO ALEGRE - BA,-11.66,-39.83,BA,75474.76236
284,CAPIM GROSSO,CAPIM GROSSO - BA,-11.38,-40.01,BA,173324.0807
285,CARAIBAS,CARAIBAS - BA,-14.6,-41.33,BA,101544.5472
286,CARAVELAS,CARAVELAS - BA,-17.73,-39.26,BA,117473.9002
287,CARDEAL DA SILVA,CARDEAL DA SILVA - BA,-11.94,-37.94,BA,45499.16611
288,CARINHANHA,CARINHANHA - BA,-14.3,-43.76,BA,177442.2359
289,CASA NOVA,CASA NOVA - BA,-9.16,-40.97,BA,302450.9323
290,CASTRO ALVES,CASTRO ALVES - BA,-12.76,-39.42,BA,170113.4449
291,CATOLANDIA,CATOLANDIA - BA,-12.31,-44.86,BA,19954.73708
292,CATU,CATU - BA,-12.35,-38.37,BA,299211.5604
293,CATURAMA,CATURAMA - BA,-13.32,-42.29,BA,64571.91263
294,CENTRAL,CENTRAL - BA,-11.13,-42.11,BA,91393.36657
295,CHORROCHO,CHORROCHO - BA,-8.98,-39.09,BA,61094.88454
296,CICERO DANTAS,CICERO DANTAS - BA,-10.6,-38.38,BA,178910.8014
297,CIPO,CIPO - BA,-11.1,-38.51,BA,80394.60285
298,COARACI,COARACI - BA,-14.64,-39.55,BA,175503.1119
299,COCOS,COCOS - BA,-14.18,-44.53,BA,109198.6842
300,CONCEICAO DA FEIRA,CONCEICAO DA FEIRA - BA,-12.5,-38.99,BA,106593.8625
301,CONCEICAO DO ALMEIDA,CONCEICAO DO ALMEIDA - BA,-12.8,-39.16,BA,128490.0619
302,CONCEICAO DO COITE,CONCEICAO DO COITE - BA,-11.56,-39.28,BA,352590.0537
303,CONCEICAO DO JACUIPE,CONCEICAO DO JACUIPE - BA,-12.42,-38.72,BA,151550.4769
304,CONDE,CONDE - BA,-11.81,-37.61,BA,118393.15
305,CONDEUBA,CONDEUBA - BA,-14.89,-41.96,BA,113669.0431
306,CONTENDAS DO SINCORA,CONTENDAS DO SINCORA - BA,-13.76,-41.04,BA,33407.38042
307,CORACAO DE MARIA,CORACAO DE MARIA - BA,-12.23,-38.75,BA,156402.1033
308,CORDEIROS,CORDEIROS - BA,-15.03,-41.93,BA,72960.58888
309,CORIBE,CORIBE - BA,-13.82,-44.45,BA,109159.2068
310,CORONEL JOAO SA,CORONEL JOAO SA - BA,-10.28,-37.92,BA,131538.1768
311,CORRENTINA,CORRENTINA - BA,-13.34,-44.63,BA,182116.4948
312,COTEGIPE,COTEGIPE - BA,-12.02,-44.25,BA,80845.7715
313,CRAVOLANDIA,CRAVOLANDIA - BA,-13.35,-39.81,BA,30090.43993
314,CRISOPOLIS,CRISOPOLIS - BA,-11.51,-38.15,BA,108220.2948
315,CRISTOPOLIS,CRISTOPOLIS - BA,-12.23,-44.42,BA,85418.79444
316,CRUZ DAS ALMAS,CRUZ DAS ALMAS - BA,-12.67,-39.1,BA,320236.5576
317,CURACA,CURACA - BA,-8.99,-39.9,BA,174361.6424
318,DARIO MEIRA,DARIO MEIRA - BA,-14.43,-39.9,BA,104088.1361
319,DIAS D'AVILA,DIAS D'AVILA - BA,-12.61,-38.29,BA,229868.0985
320,DOM BASILIO,DOM BASILIO - BA,-13.76,-41.77,BA,68802.53065
321,DOM MACEDO COSTA,DOM MACEDO COSTA - BA,-12.9,-39.19,BA,24613.882
322,ELISIO MEDRADO,ELISIO MEDRADO - BA,-12.94,-39.52,BA,48431.3708
